Jesu opstandelse, Jesu Auferstehung
at markere, markieren
påskedag, Ostersonntag
at skylde, schulden
en helligdag, ein Feiertag
fasten, Fasten
at sove over sig, verschlafen
en skov, ein Wald
en pejs, ein Kamin
i skuret, im Schuppen
hvor langt er der, wie weit ist es
at hæve penge, Geld abheben
Er det tilladt at fotografere?, Ist er erlaubt zu fotografieren?
en afdeling, eine Abteilung
Det kan være svært at finde rundt, Es kann schwierig sein sich zurecht zu finden.
opskrifter, Rezepte
bradepande, Backblech
bare, nur
sort, Schwarz
en nederdel, ein Rock
en høne, ein Huhn; Henne
en hest, ein Pferd
at brænde, brennen
at høre til, gehören zu
at være bekymret for, besorgt sein um
forvirret, verwirrt
en aftale, ein Termin/ein Deal/Übereinkommen
klokken hvad?, um welche Zeit?
hvor er du på vej hen?, wohin gehst du?
hen, hin
færre, weniger
mavepine, Bauchschmerzen
det gør ondt, es tut weh
i ørigt, übrigens
for resten, sonst/im Übrigen
nogensinde, jemals
aldrig nogensinde, niemals
på en måde, irgendwie/gewissermaßen
nogle gange, manchmal
køleskabet, Kühlschrank
ødelagt, kaputt
et halstørklæde, ein Schal
en tegnebog. eine Brieftasche
en taske, a bag
handsker, Handschuhe
åben, offen
hjemmesko,Hausschuhe
at forklare, erklären
oplæg, Vortrag
nye tiltag, neue Initiativen