le père, der Vater
la mère, die Mutter
le fils, der Sohn
la fille, die Tochter
la sœur, die Schwester
le frère, der Bruder
les enfants, die Kinder
Noël, Weihnachten
faire ses valises, seine Koffer packen
louer en appartement, eine Wohnung mieten
célibataire, Single
union libre, wilde Ehe
Tu peux me tutoyer., Du kannst mich duzen.
étudiant, Student
collègue, Kollege
âge, Alter
et toi?, Und dir?
naïve, naiv
français, Französisch
bière, Bier
é, l'accent aigu
è, l'accent grave
ê, l'accent circonflexe
ï, l'accent tréma
ç, la cédille
collègue, Kollege
s'il vous plaît, bitte
ou, oder 
où – wo
a, hat
à, an/in
sûr, sicher
garçon, Junge
calme, ruhig
être en form, in Form sein
être pacsé, in einer eingetragenen Partnerschaft sein
c'est parti!, los geht's!
ton cousin, dein Cousin
ta sœur, deine Schwester
mon/ma, mein/meine
ton/ta, dein/deine
son/sa, sein/seine - ihr/ihre
voici mon père et voilà ma mère, hier mein Vater und da meine Mutter
un chat, eine Katze
comment, wie
notre/votre/leur, unser/euer/ihr (Singular)
nos/vos/leurs, unsere/euere/ihre (Plural)
Nos petites-filles, unsere Enkelinnen
mes, meine
tes, deine
ses, seine/ihre
le service des urgences, Notaufnahme
un hôpital, ein Krankenhaus
la pharmacienne, die Apothekerin
Tu fais quoi dans la vie?, Was machst du beruflich?^
l'étudiant/l'étudiante, der Studierende/die Studierende
le professeur / la professeure, Lehrer/die Lehrerin
le docteur / la docteure, der Arzt / die Ärztinle 
programmeur / la programmeuse, der Entwickler / die Entwicklerin
le pharmacien/ la pharmacienne, der Apotheker / die Apothekerin
le même âge, das gleiche Alter
nous avons,wir haben
on a, wir haben (informell)
vous avez, ihr habt
ils ont / elles ont, sie haben
travailler,arbeiten
la publicité,die Werbung
la finance,das Finanzwesen
l'éducation,Bildungswesen
la santé, die Gesundheit
un neveu, ein Neffe
une nièce, eine Nichte
les petits-enfants, die Enkel
où, wo
comment, wie
quoi/que, was
quand, wann
qui, wer
pourquoi, warum
commencer, beginnen
préparer, vorbereiten
habiter, wohnen
attender, warten
apprender, lernen
fâché, wütend
le travail, die Arbeit
pendant, während/am
Qui dit ça?, Wer sagt das?
des collègues sympas, nette Kollegen
à cause de, wegen
le trou/trous, Loch/Löcher
le bateau/les bateaux, Schiff/Schiffe
le lac, der See
la réunion, das Treffen
le manteau, der Mantel
le médecin, der Arzt
l'infirmier, der Pfleger
le tuyau/les tuyaux, das Rohr
le jeu/les jeux, Spiel/Spiele
les cheveux, die Haare
court, kurz
le cheval/les chevaux, Pferd/Pferde
e journal/les journaux, Zeitung/Zeitungen
le pas/les pas, Schritt/Schritte
le nez/les nez, Nase/Nasen
gentil, nett
formidable, großartig
le valise, Koffer
je plaisante, ich scherze
profiter, genießen
flâner, schlendern
colocataires, Mitbewohner
près du parc, nah beim Park
loin du parc, weit vom Park
en face du parc, gegenüber vom Park
se trouve ici, es befindet sich hier
se trouve là-bas, es befindet sich dort drüben
le magasin, Geschäft
du vas à la boulangerie, du gehst zur Bäckerei
une brasserie parisienne, eine Pariser Brasserie
la poste, die Post
choisir, auswählen
finir, beenden
réussir, gelingen/bestehen/Erfolg haben
agrandir, vergrößern/erweitern
réfléchir, nachdenken/überlegen
remplir, füllen/erfüllen
investir, investieren
le repas, die Mahlzeit/das Essen
esperer, hoffen
difficile, schwer
facile, leicht
quel,welcher
quelle,welche
quels,welche
quelles,welche
souvent, oft
jamais, niemals
toujours, immer
un resto, ein Restaurant
J'habite dans cette maison, Ich wohne in diesem Haus
ce/cette, dieser/diese
sauf le, außer
terrain de tennis, Tennisplatz
en taxi, mit dem Taxi
en bus, mit dem Bus
en métro, mit der U-Bahn
en voiture, mit dem Auto
en train, mit dem Zug
à vélo, mit dem Fahrrad
à moto, mit dem Motorrad
à pied, zu Fuß
puis, dann
Je parle danois, Ich spreche Dänisch
tous les jours, jeden Tag
l'infirmier, der Krankenpfleger
la sœur, die Schwester
rentrer, zurückkommen
le train-train quotidien, der Alltagstrott
étudiante, Studentin
le petit copain, Freund
regarder un film, sich einen Film ansehen
ensuite, danach/als nächstes
devant, vor/davor
un aller simple, eine einfache Fahrt/Fahrkarte
un aller-retour, eine Hin- und Rückfahrkarte
un billet, eine Fahrkarte
échanger, ändern/tauschen
remboursement, Rückerstattung
la gare, der Bahnhof
la voie, das Gleis
partir, abfahren
combien coûte, wieviel kostet
la viande, Fleisch
l'œuf/les œufs, Ei/Eier
une quiche, eine Quiche
souffler, blasen/pusten/wehen
tous les dimanches, jeden Dienstag
les viennoiseries, Gebäck
je suis désolée, es tut mir leid
j'ai besoin de, ich brauche
les épinards, Spinat
d’habitude, normalerweise
Quel temps fait-il ?, Wie ist das Wetter?
Il fait beau., Das Wetter ist schön.
Il fait mauvais., Das Wetter ist schlecht.
Il pleut., Es regnet.
Il fait chaud., Es ist heiß.
Il fait froid., Es ist kalt.
attendre, warten
répondre, antworten
remplir, packen/füllen
perdre, verlieren/auslaufen
réussir bien, Erfolg haben
réussir mal, keinen Erfolg haben
vendre, verkaufen
entendre, hören
descendre, absteigen/aussteigen/heruntergehen
la pluie, Regen
car il fait froid, weil es kalt ist
je vais passer Pâques avec ma copine, ich werde Ostern mit meiner Freundin verbringen
un sac, Tasche
la rentrée des classes, der Schulstart
tu va déménager au Canada, du wirst nach Kanada ziehen
lourd, schwer
dedans, in
partir en vacances, in die Ferien fahren
les voicins, die Nachbarn
jouer aux échecs, Schach spielen
tôt, früh/zeitig
la batterie, Schlagzeug
chanter, singen
après-midi, Nachmittag
Je vais me coucher., Ich werde ins Bett gehen.
Tu vas te lever., Du wirst aufstehen.
Nous allons nous habiller., Wir werden uns anziehen.
Elles ne vont pas se maquiller., Sie werden sich nicht schminken.
Quelle heure est-il?, Wie spät ist es?
minuit, Mitternacht
donc ça va, deshalb geht es/deshalb ist es okay 
donc, darum/deshalb
ça va, es geht
mettre, legen/stellen
les clés, die Schlüssel
un portefeuille, eine Brieftasche
la carte bleue/la carte bancaire, Bankkarte
joli, hübsch
le portable, Handy
les poches, die Hosentaschen
chaussures, Schuhe
le salon, Wohnzimmer
depuis mes dix ans, seit ich 10 bin
Fais-tu du sport ?, Machst Du Sport?
jouer/joueuse/joueurs(pluriel), Spieler(in)/Spieler
sur la plage, am Strand
retrouver, treffen
pour me détendre, zu meiner Entspannung
il faut au moins deux joueurs, man braucht mindestens 2 Spieler
toutes les semaines, jede Woche
J’ai faim, Ich habe Hunger.
avoir raison, Recht haben
avoir tort, Unrecht haben
avoir besoin de, müssen
avoir peur, Angst haben
avoir envie de, Lust haben auf
hier, Gestern
la semain dernière, letzte Woche
se doucher, sich duschen
se brosser les dents, sich die Zähne putzen
se raser, sich rasieren
s'habiller, sich anziehen
se maquiller, sich schminken
se coucher, ins Bett gehen
se réveiller, aufstehen/aufwachen
On fait quoi... ? ,Was machen wir?
voir un film (au cinéma), sich (im Kino) einen Film ansehen
voir une expo, sich eine Ausstellung ansehen
voir des amis, Freunde treffen
faire les magasins, shoppen gehen
faire un pique-nique, picknicken
prendre un verre, etwas trinken gehen
connaître, kennen
très connu, sehr bekannt/berühmt
le gâteau, der Kuchen
actuellement, gerade eben
Je voudrais une table pour deux personnes., Ich hätte gern einen Tisch für zwei.
Je vais commander à la carte., Ich werde etwas von der Karte bestellen.
Je vais prendre le menu., Ich nehme das Menü.
l’entrée, Vorspeise
le plat principal, Hauptspeise
le dessert, Nachspeise
"L’addition, s’il vous plaît !", "(Die Rechnung, bitte!)"
Tu en penses quoi ?, Wie findest du es?
C'est trop bon !, Es schmeckt super lecker!
C’est pas terrible., Es ist nicht berauschend.
C’est dégoûtant., Es ist ekelhaft.
C’est trop sucré., Es ist zu süß.
C’est trop salé., Es ist zu salzig.
avoir (haben), eu (p.p.)
être (sein), été (p.p.)
dire (sagen), dit (p.p.)
"faire (machen, tun)", fait (p.p.)
voir (sehen), vu (p.p.)
boire (trinken), bu (p.p.)
lire (lesen), lu (p.p.)
prendre (nehmen), pris (p.p.)
apprendre (lernen), appris (p.p.)
comprendre (verstehen), compris(p.p.)
monter (hinaufgehen / steigen), monté (p.p.)
venir (kommen), venu (p.p.)
aller (gehen), allé (p.p.)
naître (geboren werden), né (p.p.)
descendre (heruntergehen), descendu (p.p.)
entrer (eintreten / hineingehen), entré (p.p.)
retourner (zurückkommen), retourné (p.p.)
tomber (fallen), tombé (p.p.)
rester (bleiben), resté (p.p.)
arriver (ankommen / passieren), arrivé (p.p.)
mourir (sterben), mort (p.p.)
partir (verlassen / weggehen), parti (p.p.)
sortir (hinausgehen), sorti (p.p.)
revenir (re+venir), zurückkommen (p.p.)
devenir (de+venir), werden (p.p.)
remonter (re+monter), wieder hochgehen (p.p.)
retomber (re+tomber), wieder fallen (p.p.)
rentrer (re+entrer), zurückgehen / wieder hineingehen (p.p.)
Hein?, Was?
ce joli paysage, diese schöne Landschaft
paresseux/paresseuse, faul
tatillon / tatillonne, penibel
vérifier, überprüfen
lourd / lourde, nervig
bavard / bavarde, geschwätzig
maladroit / maladroite, ungeschickt
quelquefois, manchmal
Il est comment ?,Wie ist er so? / Wie ist sie so?
généreux,großzügig
drôle, lustig
brillant, klug
jouer DE LA guitare, Gitarre spielen
Il est en colère., Er ist wütend.
Sans déconner?!, Ohne Scheiß?! Echt jetzt?!
C’est une tuerie!, Das ist der Wahnsinn!
Royaume-Uni, Großbritannien
étudier le français, Französisch lernen
combien coûte...?, wieviel kostet...?
...il y a un mois., ...vor einem Monat
quirer, backen
le four, Ofen
la recette, Rezept
la pâte brisée, Mürbeteig
Préchauffez le four., Heize den Ofen vor
batter, schlagen
verser de l'eau, Wasser (ein)gießen
Laissez refroidir., Auskühlen lassen
le moule, die Kuchenform
la cuillère à café, der Teelöffel
l'extrait de vanille, das Vanilleextrakt
porter à ébullition, zum Kochen bringen
maïzena, Speisestärke
porter, tragen/bringen/überbringen
porter attention, Aufmerksamkeit schenken
les boissons, Getränke
le goûter, Snack
avant, vor
l'apéro, Aperitif
naissances, Geburten
mariages, Hochzeiten
anniversaires, Geburtstage
Au quotidien, tagtäglich/im Alltag
le casse-croûte, der leichte Imbiss
mettre la table, den Tisch decken
devoir, müssen
une assiette, Teller
le couteau, Messer
la fourchette, Gabel
la cuillère, Löffel
Miam, lecker
Bof, geht so
Beurk, Igitt
c'est moyen, das ist so lala
C'est délicieux, es ist lecker
Ça me dégoûte, Ich finde es ekelhaft
mauvaise humeur, schlechte Laune
embouteillages, Stau
faire admirer, präsentieren/vorzeigen
je trouve, ich finde
une barbe, ein Bart
une moustache, ein Schnurrbart
les lunettes, die Brille
les lentilles, die Kontaktlinsen
une casquette, eine (Schirm)mütze
un bonnet, eine (Woll)mütze
une ceinture, ein Gürtel
les bijoux, der Schmuck
une montre, eine Armbanduhr
Aie confiance en toi!, Habe Vertrauen in Dich!
Sois à l'heure!, Sei pünktlich!
Je peux vous aider ?,Kann ich Ihnen helfen?
Je cherche une robe de soirée.,Ich suche ein Partykleid.
Je fais du M.,Ich trage Größe M.
Je voudrais essayer cette robe.,Ich würde gern dieses Kleid anprobieren.
Je vais payer en espèces.,Ich werde in bar bezahlen
inoubliable, unvergesslich
Dépêche-toi!, Beeile dich!
un/une boss, un patron / une patronne
une deadline, une date butoir
un feedback, un retour
une update, une mise à jour
un meeting, une réunion